detailed_description,brief_summary
The purpose of this study is to determine the effect of nefazodone on relapse to cocaine in women and if a greater effect will be seen in the dependent condition. A relapse and coping skills questionnaire will be utilized to determine the various factors important to the relapse process.,The purpose of this study is to determine the effect of nefazodone on relapse to cocaine use in depressed and non-depressed females with cocaine abuse/dependence.
"Participants were inducted on either liquid or tablet buprenorphine, in a double-blind, double-dummy manner. They each reached a steady state by the second week, and were scheduled to have blood draws in weeks 3, 4, 7, 8, 11, 12, 15, and 16.",The purpose of this study is to compare liquid and tablet buprenorphine formulations.
Alternate-day dosing with the 8mg buprenorphine-naloxone tablet is as safe and effective as daily dosing. Outcomes are improved when the total weekly dose provided during alternate-day dosing is equal to that given during daily dosing.,The purpose of this study is to assess the clinical efficacy of the buprenorphine/naloxone combination tablet for alternate-day dosing and determine whether multiples of the daily dose are necessary to maintain an effective alternate day dosing regimen.
"Mon/Wed/Fri dosing with the 8 mg buprenorphine/naloxone tablet is as safe and effective as daily dosing and is preferred by patients to daily dosing. Multiple doses of the combination tablet (e.g. 16mg, 24mg) are well tolerated by patients. A 3 day schedule with take-outs is as effective as a 3-day schedule in which all medication is ingested at the clinic",The purpose of this study is to compare the clinical efficacy of daily vs. 3-day (MWF) buprenorphine/naloxone combination tablet administration and determine whether outcomes are improved when using a 3-day schedule in which all doses are ingested at the clinic vs. one in which take-home doses are given on intervening days.
Eligible individuals will be randomly assigned to a 12-week trial of a fixed daily dose of either naltrexone (Revia) and nicotine replacement patch or placebos. All individuals will receive weekly coping skills and smoking-cessation behavioral therapy. Followup interviews will be conducted 3 and 6 months after treatment to determine smoking and drinking status and persistence of any dependence symptoms.,The purpose of this study is to determine the effectiveness of naltrexone (Revia) or matched placebo combined with nicotine patch (Nicotrol) or placebo patch using a 2x2 design in reducing drinking and smoking in patients with both nicotine and alcohol dependence.
"The aim of this study is to test the mood stabilizer, anticonvulsant, sodium valproate in individuals with alcohol dependence and bipolar disorder, in a double-blind, placebo-controlled, and randomized trial of 6 months duration. All subjects are treated with treatment as usual, which include lithium carbonate and individual dual recovery counseling and are randomized to either sodium valproate or placebo.",The purpose of this study is to test the effectiveness of sodium valproate (Depacon) in treating individuals with alcohol dependence and comorbid bipolar disorder.
"Preliminary immunologic data from protocol VEU 005B show evidence of the development of functional antibodies in the form of increased peptide binding and development of neutralizing antibodies. Evaluation of an antigen dose having potentially greater immunogenicity is therefore of particular interest. Twelve healthy volunteers receive injections of 100 mcg Env 2-3 in MF59 emulsion and two volunteers receive MF59 only on days 0, 30, 180, and 365. Follow-up continues for 6 months after the last injection.","To evaluate the safety and immune response of 100 mcg Env 2-3 antigen administered on days 0, 30, 180, and 365. Preliminary immunologic data from protocol VEU 005B show evidence of the development of functional antibodies in the form of increased peptide binding and development of neutralizing antibodies. Evaluation of an antigen dose having potentially greater immunogenicity is therefore of particular interest."
"Pentoxifylline decreases tumor necrosis factor (TNF), and therefore should decrease such TNF-intensified events as cachexia, enhanced HIV expression, and inhibition of zidovudine (AZT) activity. Twenty-seven AIDS patients with elevated TNF and less than 300 CD4 cells are given pentoxifylline 3 times a day for 8 weeks. If no significant changes are seen in virologic, immunologic, or related measures, 27 additional patients are given a higher dose of pentoxifylline 3 times a day for eight weeks.","To determine whether pentoxifylline lowers tumor necrosis factor (TNF) levels in AIDS patients. Pentoxifylline decreases tumor necrosis factor (TNF), and therefore should decrease such TNF-intensified events as cachexia, enhanced HIV expression, and inhibition of zidovudine (AZT) activity."
"DTC has been studied in previous clinical trials in HIV-infected patients with the suggestion of delay in disease progression to AIDS and improvement in CD4 counts while on the drug. Two groups of patients, one group asymptomatic and the other with AIDS diagnosis, are enrolled in the study. All patients receive DTC intravenously once a week for two weeks. Drugs are given on days 1 and 8. Blood samples are drawn on days 1, 3, 5, 8, 10, and 12.","To determine, in HIV-infected patients, the magnitude and duration of the biological effects of ditiocarb sodium (sodium diethyldithiocarbamate; DTC) that may be relevant to treatment of HIV infection. DTC has been studied in previous clinical trials in HIV-infected patients with the suggestion of delay in disease progression to AIDS and improvement in CD4 counts while on the drug."
HIV-infected children are randomized to receive adjunctive therapy with intravenous methylprednisolone or placebo. Treatment is administered for 10 days. Primary antipneumocystis therapy with TMP/SMX or systemic pentamidine is selected by the individual investigator and given for 21 days. Patients are stratified at the time of randomization by the presence or absence of respiratory failure.,To determine the effect of methylprednisolone on respiratory failure in HIV-infected patients with presumed or confirmed pneumocystis carinii pneumonia who are stratified for presence or absence of respiratory failure at the time of randomization to the study.
"Preliminary evaluations of two dose levels of gp120 administered to volunteers in protocol VEU 007A indicate that a gp120 dose of potentially greater immunogenicity may be of interest. Ten healthy volunteers receive 200 mcg gp120 in MF59 emulsion, and four volunteers receive placebo consisting of MF59 emulsion in PBS vehicle. Injections are given at months 0, 1, and 6. Patients are followed for 12 months following the third injection.","To evaluate in healthy volunteers the safety and immune response to 200 mcg gp120 candidate vaccine in MF59 emulsion without MTP-PE at 0, 1 and 6 months. Preliminary evaluations of two dose levels of gp120 administered to volunteers in protocol VEU 007A indicate that a gp120 dose of potentially greater immunogenicity may be of interest."
"TMTX is an experimental new drug which is effective for treatment of PCP, but has been given to only a few patients. Therefore it is not certain if TMTX is better, the same as, or not as effective as conventional drugs against PCP. Increasing doses of TMTX are used in combination with LCV as initial treatment for PCP in 50 AIDS patients. Doses are increased for 21 days on a once daily and then a twice daily basis. Dose escalations occur in subsequent groups of patients.","To evaluate the safety and effectiveness of trimetrexate (TMTX) given at increasing doses along with the leucovorin calcium (LCV) for treating Pneumocystis carinii pneumonia (PCP) in AIDS patients TMTX is an experimental new drug which is effective for treatment of PCP, but has been given to only a few patients. Therefore it is not certain if TMTX is better, the same as, or not as effective as conventional drugs against PCP."
"Asymptomatic patients with CD4 counts over 300 cells/mm3 are more likely to tolerate any of the nucleoside analogs. d4T, with a favorable toxicity profile and demonstrated anti-HIV activity in previous studies, provides an additional therapeutic option. Patients are randomized to receive d4T alone, AZT alone, or both in combination for at least 12 weeks. After week 12, 3TC is added to the combination arm. Treatment continues for up to 48 weeks (was a total of 48 weeks, amended 3/26/96).","To determine drug efficacy and safety in HIV-infected patients treated with zidovudine ( AZT ) versus stavudine ( d4T ) versus both drugs. Also, to compare short- and long-term changes in magnitude of HIV RNA over time. Asymptomatic patients with CD4 counts over 300 cells/mm3 are more likely to tolerate any of the nucleoside analogs. d4T, with a favorable toxicity profile and demonstrated anti-HIV activity in previous studies, provides an additional therapeutic option."
"The purpose of the protocol is to continue to treat patients with Wegener's granulomatosis who have already entered the study, and to treat new patients. The investigators will attempt to correlate the clinical response with specific immunosuppressive effects of drug administration. The investigators are accumulating data on the optimal duration and side effects of therapy. Age Range: greater than 1 year","The purpose of this protocol is to continue to treat patients with Wegener's granulomatosis who have already entered the study, and to treat new patients. The investigators will attempt to correlate the clinical response with specific immunosuppressive effects of drug administration. The investigators are accumulating data on the optimal duration and side effects of therapy."
"This is a Phase II study of 9-aminocamptothecin (9-AC), administered as an intravenous continuous infusion over 72 hours with G-CSF support for patients with advanced refractory ovarian cancer. The objectives of the present study are to determine the response rate to 9-AC in patients with advanced ovarian cancer who have recurrent disease after paclitaxel- and cisplatin-based chemotherapy regimens.",The objectives of this study are to determine the response rate to 9-AC in patients with advanced ovarian cancer who have recurrent disease after paclitaxel- and cisplatin-based chemotherapy regimens.
